id,category,subcategory,subsubcategory,description,difficulty,tags
8f891fee-624c-4427-abcd-3d369379dbb9,Build & Dependency Management,Language & Ecosystem-Specific Build Management,Java & JVM-Based Builds,"Configure and build a mixed-language (Java + Kotlin) multi-module Maven project using toolchains to compile one legacy module with JDK 8 and the rest with JDK 17, wiring Lombok and MapStruct as annotation processors on the correct processor path. Produce a deterministic, shaded CLI artifact with relocated dependencies and attached sources/javadoc, publish to the local Maven repository, and verify by building and running a tiny consumer project that imports the library and executes the CLI.",,
6396072e-626b-4db9-94d4-45f0aba3b87a,Build & Dependency Management,Language & Ecosystem-Specific Build Management,Java & JVM-Based Builds,"Create a Maven multi-module project combining Java and Kotlin submodules, configure the kotlin-maven-plugin, and produce a multi-release JAR that contains legacy implementation for Java 8 and modern code under META-INF/versions/11. Validate by building under JDK 8 and JDK 11 and running the appropriate module-specific features via the Surefire plugin.",,
682f9326-6867-446e-bfee-a60ce8d2c4c8,Build & Dependency Management,Language & Ecosystem-Specific Build Management,Java & JVM-Based Builds,"Implement a Maven multi-module build that compiles Java and Kotlin modules, generates Protobuf sources, executes SpotBugs and JUnit5 tests with a minimum 85% coverage threshold, assembles a shaded uber-jar, and deploys snapshots and releases to a Nexus repository using custom staging profiles. Ensure build reproducibility by locking plugin and dependency versions via the Maven Enforcer plugin and verify offline builds with a mirrored local repository.",,
fdcfb252-49b5-4f4c-8970-d58c2581227d,Build & Dependency Management,Language & Ecosystem-Specific Build Management,Java & JVM-Based Builds,"Configure a Dockerized multi-module Maven project using the Maven Toolchains plugin to compile and test the same codebase against both Java 8 and Java 17, emitting artifacts into separate target subdirectories. Validate each build by inspecting class file major versions and ensuring all tests pass under both JDKs.",,
4f8bba66-220c-409c-bc32-faacbc258a09,Build & Dependency Management,Language & Ecosystem-Specific Build Management,Java & JVM-Based Builds,"Configure a multi-module Gradle (Kotlin DSL) Java/Kotlin project to build offline against a pre-seeded local Maven repository, enable dependency locking and verification, and produce a deterministic shaded fat JAR targeting JDK 17. Verify by building twice with the same SOURCE_DATE_EPOCH to obtain identical SHA256 sums and by running the JAR to print its git-derived version.",,
2800d9b1-47b2-4650-b49a-1414af354989,Build & Dependency Management,Language & Ecosystem-Specific Build Management,JavaScript & Frontend Builds,"Create a pnpm monorepo with two TypeScript packages (‘lib’ and ‘app’), configure esbuild to emit both CJS and ESM outputs with declaration files for ‘lib’, and bundle ‘app’ into /dist with hashed filenames. Verify that workspace protocol aliases resolve correctly in the app and generate a manifest.json mapping entrypoints to the output files.",,
ea9d38ea-8ce2-4d23-9ebb-f37d02ee4bfc,Build & Dependency Management,Language & Ecosystem-Specific Build Management,Python Builds & Packaging,"Use Docker’s manylinux2014 image to build Python wheels for a project with Cython extensions, configuring build options solely via pyproject.toml and running auditwheel repair to ensure compliance. Then automate testing by installing each wheel in isolated venvs for Python 3.7–3.10 and executing a sample import and function call.",,
29857d5c-a68a-423e-b794-debdf284f2ca,Build & Dependency Management,Language & Ecosystem-Specific Build Management,Python Builds & Packaging,"Develop a release automation script that parses Conventional Commits since the last git tag to determine the next semantic version, updates pyproject.toml and the package __init__.py, then builds sdist and wheel via PEP 517 build, runs twine check, and publishes to Test PyPI. Finally, the script must create a fresh virtualenv, install the package from Test PyPI, and verify the import and version output.",,
60b6b512-56a5-4d1c-af97-02af706f2097,Build & Dependency Management,Language & Ecosystem-Specific Build Management,Python Builds & Packaging,"Implement a Python CLI that migrates a legacy setup.py project into a PEP 517 pyproject.toml preserving all metadata, dependencies, entry points, and package data, then builds both sdist and wheel via the build module. The tool must normalize timestamps, sort file listings, and verify SHA256 checksums of artifacts across two runs to guarantee reproducible, deterministic builds.",,
f2cf83db-0b98-4fda-9e4f-459895dc0631,Build & Dependency Management,Language & Ecosystem-Specific Build Management,Rust/Go/Other Modern Toolchains,"Refactor a provided multi-crate Rust project into a Cargo workspace, vendor all dependencies with cargo vendor, and configure .cargo/config.toml so the project builds fully offline. Cross-compile a static x86_64-unknown-linux-musl release binary with feature ""cli"" (default-features=false) and verify by running cargo test --workspace and executing the binary to emit a deterministic SHA256.",,
24b1b3e5-5b55-46a0-a95d-df0dac681af3,Build & Dependency Management,Release Engineering & Version Control Integration,Branch-Based Build Rules,"Implement a CI script that, based on the git branch, applies different build configurations: on 'dev' branches builds include debug symbols and are tagged '-dev' in the version header, while on 'main' builds enable optimizations, strip symbols, update semantic version from the latest tag, and produce packaged release artifacts under /dist. Validate by running builds on both branch contexts in Docker, verifying version strings and artifact contents accordingly.",,
06beb7e4-7592-4fcf-a472-f7ccf68bd752,Build & Dependency Management,Release Engineering & Version Control Integration,Branch-Based Build Rules,"Implement a Git-aware Makefile for a Rust CLI that enforces branch-specific builds: main produces a stripped LTO release with version from the latest tag and a sha256 checksums.txt; staging enables a telemetry-staging feature and adds an -rc suffix; feature/* appends +branch.sha and writes to /app/dist/feature, while release/* fails if Cargo.toml version doesn’t match the tag. The harness will check out different branches and verify artifact names, --version output, and the presence of checksums only on main.",,
ce71531e-d0b1-48af-8e57-24a49fbcb95d,Build & Dependency Management,Release Engineering & Version Control Integration,Branch-Based Build Rules,"Implement a shell-based build orchestrator that reads branch-specific policies from a JSON file to automatically apply different compiler flags, dependency injections, and artifact naming based on the current Git branch. The tool must reject and cleanly report any builds that don’t conform to the defined staging, release, and production rules across three sample branches.",,
2a98e3ad-2899-4cfa-8398-3137ba5bfd4a,Build & Dependency Management,Release Engineering & Version Control Integration,Branch-Based Build Rules,"Develop a POSIX-compliant build wrapper that detects the current Git branch and invokes CMake with branch-specific build types (Debug for feature/*, RelWithDebInfo for staging, Release+strip for main), automatically appending branch suffixes to the project version. After compilation, verify the binary’s symbol table, size reduction, and embedded version metadata to ensure the correct flags and suffix were applied per branch rule.",,
7790614a-4402-41e5-b055-16d5bb7ae920,Build & Dependency Management,Release Engineering & Version Control Integration,Branch-Based Build Rules,"Implement a Git-aware build script that enforces branch-specific rules: feature/* runs tests only and emits a -SNAPSHOT artifact, staging builds produce debug binaries with embedded staging config, and main requires an annotated tag to create a stripped release tarball with semver from the tag and a SHA256 checksum in /app/dist. Validate by creating branches and tags and showing the correct artifacts and version strings are generated for each branch.",,
3d22c1c0-8e7f-41dd-b6f9-8b62051f565b,Build & Dependency Management,Release Engineering & Version Control Integration,Reproducible Release Provenance,"Compile and package release binaries for Linux x86_64, ARM64, and Windows in separate Docker sandboxes, generate SHA256 checksums, GPG detach signatures, and SPDX SBOMs for each. Then perform a second independent build to verify bit-for-bit reproducibility and bundle all artifacts, signatures, and SBOMs into an in-toto provenance statement, confirming integrity and authenticity.",,
788102de-4552-4f51-ac90-24e81d5b15fc,Build & Dependency Management,Release Engineering & Version Control Integration,Signed & Verified Builds,"Implement a POSIX-compliant release automation script that checks out a provided git tag, builds artifacts for multiple platforms, generates SHA256 and SHA512 checksum files, and signs both artifacts and checksums with a GPG key from /env/keys. The script must then verify all signatures against a public keyring, produce a manifest.json with artifact metadata and signature statuses, and prepare a versioned release directory for distribution.",,
c1acc84f-be6b-42eb-b51a-fbfd7aa811c4,Build & Dependency Management,Release Engineering & Version Control Integration,Signed & Verified Builds,"Create an offline release pipeline that signs a Git tag for a provided source tree, builds a normalized tar.gz and binary, and generates SHA256SUMS along with both GPG (.asc) and minisign signatures for the artifacts. Provide a verify.sh that validates the tag signature against a supplied public key, checks checksums and signatures, and confirms the binary’s embedded commit hash matches the signed tag.",,
3ce981d3-aea0-466b-80ea-6f8a31a743a2,Build & Dependency Management,Release Engineering & Version Control Integration,Signed & Verified Builds,"Implement a release pipeline that signs the vX.Y.Z Git tag and a SHA256SUMS file with GPG, builds a binary embedding git describe/commit hash, and provides verify.sh to validate the tag signature, the embedded version against the tag, the checksum signature, and the artifact hashes. The task must detect and fail on any tampering with either artifacts or checksums.",,
e48f72b4-210d-45bc-98b8-566f5cd43f98,Build & Dependency Management,Release Engineering & Version Control Integration,Signed & Verified Builds,"Create a release automation script that cross-compiles a Go project for Linux amd64 and arm64, packages the binaries into tar.gz archives, generates SHA256SUMS, and digitally signs the checksum manifest and Git tag with a specified GPG key. Provide a verify.sh script that validates the GPG signatures, confirms the integrity of the checksums against the archives, and verifies the authenticity of the signed Git tag.",,
de8e270e-8d29-47f8-9cfc-1f710348b821,Build & Dependency Management,Release Engineering & Version Control Integration,Signed & Verified Builds,"Configure a Dockerized signing environment that uses a hardware-backed GPG key (e.g., YubiKey) with gpg-agent to detach-sign multiple built artifacts (.tar.gz, .zip, .deb), generate SHA256 checksums, and publish them to /dist as .asc and .sha256 files. Also implement a verify.sh script that fetches the public key via WKD, validates both signatures and checksums, and fails cleanly on any mismatch or missing artifact.",,
2130a558-cbe7-4510-a02c-95b5e92cb652,Build & Dependency Management,Release Engineering & Version Control Integration,Version Tagging & Release Automation,"Develop a shell-based release manager that scans a monorepo for crates and package.json files, bumps each module’s semantic version based on Conventional Commits and commits the version updates. Then it creates annotated git tags per module and generates a consolidated CHANGELOG.md with links to the merged PRs.",,
2466540a-4876-45e0-8448-dd6ebd3e5891,Build & Dependency Management,Release Engineering & Version Control Integration,Version Tagging & Release Automation,"Create a cross-platform release script that reads a YAML manifest of target platforms, runs builds inside per-platform Docker containers, computes SHA256 checksums and GPG-signs each artifact, then tags the commit with a semantic version, creates or updates a GitHub release via the API, and attaches the signed artifacts. The script must be idempotent—skipping existing tags or uploads—handle API rate limits with exponential backoff, and validate all manifest entries with clear error reporting before starting.",,
1b32b22b-b7eb-41e3-93c0-513eeebcd636,Build & Dependency Management,Release Engineering & Version Control Integration,Version Tagging & Release Automation,"In a Git monorepo with a Rust workspace of multiple crates, implement a release script that parses Conventional Commits since the last per‑crate tag, bumps versions in Cargo.toml/Cargo.lock with dependency propagation, writes per‑crate and aggregate changelogs, and creates annotated tags (v{crate}-{version}) plus a workspace tag. The run must support dry‑run vs apply, handle prerelease channels (e.g., -beta) and BREAKING CHANGE semantics, be idempotent on a second run, and leave the workspace building successfully at the new versions.",,
322a3d26-1836-4292-b59e-9d75f2b9075f,Build & Dependency Management,Release Engineering & Version Control Integration,Version Tagging & Release Automation,"Develop a POSIX-compliant release automation script that determines major, minor, patch, or prerelease versions (alpha/beta) from Conventional Commits plus a --pre flag, updates both package.json and setup.py with the computed version and prerelease identifier, generates a unified changelog, creates annotated git tags, and builds npm packages and Python wheels. The script must place versioned artifacts and tags in /releases, robustly handle missing or malformed tag histories, and validate consistency of versions across both language ecosystems.",,
c4cbe0e7-8be2-4fe9-b6d7-84f978991543,Build & Dependency Management,Source Compilation & Build Systems,Artifact Generation & Packaging,"Cross-compile the Go project in /src for linux/amd64, linux/arm64, and windows/amd64 targets with CGO disabled into versioned binaries, package each artifact into tar.gz or zip (including README and LICENSE), then generate SHA256SUMS.txt and a GPG-signed SHA256SUMS.txt.asc signature file.",,
1628ebe2-8742-4b51-b41b-256e4cf27820,Build & Dependency Management,Source Compilation & Build Systems,Artifact Generation & Packaging,"Configure a CMake project and use CPack to produce both .deb and .rpm packages for a small C/C++ CLI, including /usr/bin binary, a man(1) page, bash completion, and a separate -dbg package with split debug symbols. Validate package metadata (version from git tag), ownership/permissions, dependencies, and contents via dpkg-deb and rpm queries, and by extracting to a temporary root to confirm correct install paths.",,
69cda8ed-8a02-4079-88ee-026a170db619,Build & Dependency Management,Source Compilation & Build Systems,Artifact Generation & Packaging,"Package a small C library built with CMake into two Debian packages: a versioned runtime shared library with correct SONAME (e.g., libfoo2) and a -dev package containing headers and a pkg-config file, using debhelper and dpkg-buildpackage. Install the .debs and verify by compiling and running a tiny consumer that links via pkg-config against the installed library.",,
d816e628-6aac-4e20-b42a-1d63b3462f37,Build & Dependency Management,Source Compilation & Build Systems,Build System Configuration,"Configure a CMake-based build for /app/engine using Ninja, CMakePresets.json, and a cross-compiling toolchain file to produce both native (x86_64) and ARMv7 binaries with an ENABLE_SIMD option that toggles sources and compile definitions. The workflow must emit compile_commands.json, run ctest, and generate relocatable cpack TGZ packages for each configuration, verifying the ARM artifact is an ARM ELF and the native build links against system zlib via find_package(ZLIB).",,
7f7c24fe-aa2e-4234-bf95-75f048e564a5,Build & Dependency Management,Source Compilation & Build Systems,Build System Configuration,"Configure a CMake/Ninja project to run a two-stage Profile-Guided Optimization workflow: first build instrumented binaries and execute a provided training script to generate profiles, then rebuild using those profiles to emit an optimized executable at a fixed path. Verify that the profile was consumed (via build logs/artifacts) and that the optimized binary demonstrates a measurable runtime improvement over a baseline build.",,
6287b90a-760f-4c75-bb7d-0f4dd44589cd,Build & Dependency Management,Source Compilation & Build Systems,Build System Configuration,"Replace the project's Autotools build with Meson + Ninja, adding a subproject wrap for a missing dependency, installing headers, and generating a pkg-config file, and then add a Meson cross file to support armv7hf cross-compilation with hard-float. Verify by building native and cross variants, running the native tests, and using qemu-arm to execute a sample program linked against the cross-built shared library while pkg-config resolves the correct paths.",,
e139df25-f52e-4ba9-b5fe-91cd1e6d9f55,Build & Dependency Management,Source Compilation & Build Systems,Build System Configuration,"Configure a Bazel workspace for a polyglot (Java, Go, Python) project with custom toolchains and remote caching, and define Bazelrc profiles for development and release builds. Provide a script that builds all //... targets using a specified profile and captures the Build Event Protocol output in JSON.",,
b5b0bbc5-49ee-4af2-a915-d0dc08b877cc,Build & Dependency Management,Source Compilation & Build Systems,Build System Configuration,"Configure a CMake superbuild that fetches and builds pinned zlib and libpng from source via FetchContent/ExternalProject, then builds a small C/C++ image utility that links to them. Install targets with an exported CMake package (MyImgToolConfig.cmake), verify find_package works from a separate minimal project, and run the utility on a provided PNG sample.",,
728df3b9-1b6a-4b2e-8713-10b48acca390,Build & Dependency Management,Source Compilation & Build Systems,Cross-Compilation & Multi-Platform Builds,"Cross-compile the provided CMake-based CLI to produce three artifacts: x86_64-linux-musl (fully static), aarch64-linux-gnu, and x86_64-w64-mingw32. Verify correctness by inspecting ELF/PE headers and running the ARM64 build under qemu-aarch64 and the Windows build under wine, ensuring the musl binary has no glibc dependency and all builds honor a fixed SOURCE_DATE_EPOCH.",,
fb8a76dc-4c84-4d19-9518-226d376800aa,Build & Dependency Management,Source Compilation & Build Systems,Cross-Compilation & Multi-Platform Builds,"Cross-compile the ripgrep Rust project into statically-linked binaries for x86_64-unknown-linux-musl and aarch64-unknown-linux-musl from an x86_64 host, packaging each artifact with a LICENSE file and SHA256 checksum. Validate the ARM64 build by executing it under qemu-aarch64 on a provided test corpus and verifying the expected grep results.",,
a657066f-1f6d-4ff4-aad8-6cc5ec5b7971,Build & Dependency Management,Source Compilation & Build Systems,Manual Compilation,"Compile all C sources under /src into position-independent object files using gcc with -O2, -fPIC, -Wall, and -Werror; then archive them into libfoo.a and link them into a SONAME-versioned shared library libfoo.so.1.0.0 (with SONAME libfoo.so.1). Next, compile a test program that links against this shared library using an rpath to its directory and verify it runs and outputs the expected result.",,
98c0259a-ec94-4f1f-94ab-d80a6a8b419a,Build & Dependency Management,Source Compilation & Build Systems,Manual Compilation,"Compile a C program in /src manually using gcc for two targets: x86_64-linux-gnu and armv7-linux-gnueabihf, applying -static, -O2, and target-specific sysroots. Then verify each statically linked binary under QEMU in Docker to confirm correct execution and identical outputs.",,
0835c043-a6fb-42f5-b51d-4fbc43c9b88e,Build & Dependency Management,Source Compilation & Build Systems,Manual Compilation,"Perform a two-phase profile-guided optimization build of the C program in /app/pgotask: first compile with -fprofile-generate and run it over the input corpus in /app/corpus to emit profiles, then recompile with -fprofile-use to produce /app/bin/app_pgo. Verify by timing both pre- and post-PGO binaries on the same workload and writing the speedup and file sizes to /app/pgo_report.txt.",,
e79205fc-86d4-428c-9d7c-39f5548199f9,Debugging & Troubleshooting,Dependency & Build Troubleshooting,Build Configuration & Toolchain Issues,"Diagnose a CMake project whose shared plugin fails to link and cannot be loaded at runtime due to missing -fPIC objects and incorrect RPATH/SONAME. Update CMakeLists.txt to enable POSITION_INDEPENDENT_CODE, correct link order, and set a proper INSTALL_RPATH so the host executable can dlopen the plugin and pass the provided test.",,
b6ad0055-d1cf-4fc0-a8d5-03592c59380b,Debugging & Troubleshooting,Dependency & Build Troubleshooting,System Library & Path Errors,"Diagnose and fix build errors in a CMake-based C++ project where OpenSSL and zlib are installed in non-standard prefixes under /opt/extra by correctly configuring environment variables and CMakeLists to locate headers and libraries, ensuring both Debug and Release builds complete and all ctest cases pass.",,
c44daf03-3c32-4b51-b1ab-eac762180392,Debugging & Troubleshooting,Dependency & Build Troubleshooting,System Library & Path Errors,"Diagnose and fix a Go CLI that uses cgo for image processing (libjpeg and libpng) but fails to build and run due to missing pkg-config files and incorrect CGO_CFLAGS/LDFLAGS. Install and link the proper dev packages in the Docker sandbox, adjust environment variables, and verify the binary correctly processes sample images in /data.",,
b8730aa5-c47e-49e9-86e7-f3dfd237606c,Debugging & Troubleshooting,Dependency & Build Troubleshooting,Version Incompatibility,"Diagnose a Rust workspace that fails to build because the pinned dependencies require a newer Rust toolchain/edition than the installed rustc and cargo. Resolve by activating a compatible toolchain (e.g., via rustup or a directory override) or re-resolving to compatible crate versions, then build and run the tests successfully.",,
081bdf25-1b7d-449e-ad3b-51656956983b,Debugging & Troubleshooting,Environment & Configuration Debugging,Configuration File Parsing & Validation,"Diagnose and fix a Helm chart values.yaml containing misplaced YAML anchors, duplicate keys, and deprecated API fields to restore proper rendering of a multi-service deployment; validate with helm lint and helm template to ensure output manifests match the provided schema.",,
cbf5f9a5-2df2-4d94-97bd-75476b8ba094,Debugging & Troubleshooting,Environment & Configuration Debugging,Cross-Platform Environment Differences,"Diagnose and fix a Node.js CLI project whose shell scripts and npm tasks fail on Windows due to CRLF line endings, hard-coded POSIX commands, and improper path separations. Update scripts and configurations so the tool builds and runs seamlessly on both Linux and Windows environments.",,
9507ce46-3098-40eb-a664-3426374b6a4a,Debugging & Troubleshooting,Environment & Configuration Debugging,Virtual Environment & Container Issues,"Analyze and correct a Python Conda environment bundled in a Dockerfile that fails to import C-extensions due to ABI mismatches and conflicting package versions. Update environment.yml, channels, and multi-stage build steps to produce a minimal image under 500 MB where all pytest tests pass.",,
25f2b4a7-8b3c-4af4-8318-72845c280340,Debugging & Troubleshooting,Network & Service Debugging,API Request & Response Issues,"Debug and fix a Go CLI tool in /app/client.go that interacts with a protected REST API but fails with 401 Unauthorized and 422 Unprocessable Entity errors due to missing Bearer token header and incorrect JSON struct tags. Use httputil to inspect raw requests, correct the Authorization header formatting, align JSON tags with the API schema, implement exponential backoff retries on 429 Too Many Requests by parsing the Retry-After header, and output the aggregated items array to /output/result.json.",,
069e6f4d-dd20-458a-8957-f585f4f7c98f,Debugging & Troubleshooting,Network & Service Debugging,API Request & Response Issues,"Diagnose and fix a Node.js HTTP client’s mismanagement of chunked Transfer-Encoding causing truncated JSON responses and silent failures during paginated API calls. Implement proper chunk aggregation, error handling for malformed chunks, and ensure retry logic respects the Retry-After header, then validate with the provided integration tests.",,
89d944d6-f7e1-496e-a6cb-f194102eb08c,Debugging & Troubleshooting,Network & Service Debugging,API Request & Response Issues,"Diagnose why a Python CLI using requests gets 401 and 415 from a local OAuth2-protected REST API: the token exchange is incorrectly sent as JSON instead of application/x-www-form-urlencoded and subsequent requests pass the token as a query param instead of Authorization: Bearer. Fix the payload encoding and header usage, then verify by successfully calling a paginated endpoint while honoring Retry-After to avoid 429s.",,
e92097fc-225d-45d8-b080-9d22fd45c678,Debugging & Troubleshooting,Network & Service Debugging,API Request & Response Issues,"Diagnose why a provided CLI client receives 401 'signature mismatch' from a mock HMAC-signed REST API by auditing canonicalization (query param order, header inclusion, body hashing) and timestamp/nonce handling. Correct the signing logic and required headers so POST /v1/payments returns 201, then verify by GETting the created resource and writing its id to /app/payment_id.txt.",,
9c086cc7-cb15-462c-8b7a-62607d5948da,Debugging & Troubleshooting,Network & Service Debugging,API Request & Response Issues,"Diagnose and fix a Python client that intermittently receives 401 Unauthorized errors from a mock OAuth2-protected API by correcting its token acquisition, caching, and refresh logic. Ensure proper retry with exponential backoff and validate successful authenticated requests after token expiry simulation.",,
7ff993fe-02f0-4bb9-978b-ff62815f8094,Debugging & Troubleshooting,Network & Service Debugging,Connection & Timeout Errors,"Diagnose intermittent outbound HTTP request timeouts in a Node.js microservice under high concurrency by analyzing socket metrics, identifying OS ephemeral port exhaustion and absent keep-alive connections. Implement sysctl tuning and HTTP agent pooling, and supply a Bash load-test script that verifies zero timeouts and outputs connection stats in JSON.",,
610418d5-8908-4e84-b717-02030e0b6cd7,Debugging & Troubleshooting,Network & Service Debugging,Connection & Timeout Errors,"Investigate why a client app’s HTTP requests to an internal service stall before timing out: the hostname resolves to IPv6 while the server only binds on IPv4. Fix the mismatch (e.g., enable dual-stack binding or force IPv4 resolution) and verify low-latency success with the provided test script.",,
